"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.918333333E2;5.571066329E-8;4.744693038E-3;2.317921886E-6;1.974097450E-1;NaN;2.915266903E-1;NaN;2.630831943E-2;2.467726068E-6;2.101680720E-1;5.979005249E-8;5.092121131E-3
2.921875000E2;4.183259225E-8;3.571396285E-3;3.112177217E-6;2.656975710E-1;NaN;2.922347087E-1;NaN;2.637221332E-2;2.794858256E-6;2.386069296E-1;6.936310364E-8;5.921773367E-3
2.925416667E2;3.310774481E-8;2.833381550E-3;3.940966040E-6;3.372703437E-1;NaN;2.929435859E-1;NaN;2.643618470E-2;3.103936470E-6;2.656368285E-1;7.939253976E-8;6.794463311E-3
2.928958333E2;2.929343649E-8;2.513024427E-3;4.643519033E-6;3.983580677E-1;NaN;2.936533217E-1;NaN;2.650023358E-2;3.310109850E-6;2.839676018E-1;8.768452482E-8;7.522277313E-3
2.932500000E2;2.922426966E-8;2.513157508E-3;5.052289201E-6;4.344744518E-1;NaN;2.943639163E-1;NaN;2.656435996E-2;3.352864248E-6;2.883314470E-1;9.226365062E-8;7.934264533E-3
2.936041667E2;3.158466872E-8;2.722706043E-3;5.063858656E-6;4.365218671E-1;NaN;2.950753696E-1;NaN;2.662856382E-2;3.212441988E-6;2.769234431E-1;9.261043321E-8;7.983334837E-3
2.939583333E2;3.530691210E-8;3.050923296E-3;4.695911262E-6;4.057807442E-1;NaN;2.957876817E-1;NaN;2.669284518E-2;2.909470094E-6;2.514116800E-1;9.058687305E-8;7.827747738E-3
2.943125000E2;3.959154505E-8;3.429413601E-3;4.087470156E-6;3.540560422E-1;NaN;2.965008524E-1;NaN;2.675720404E-2;2.492476255E-6;2.158979135E-1;9.056666239E-8;7.844870499E-3
2.946666667E2;4.385219457E-8;3.807617840E-3;3.436305621E-6;2.983690717E-1;NaN;2.972148819E-1;NaN;2.682164039E-2;2.021202904E-6;1.754979041E-1;9.866871347E-8;8.567250906E-3
2.950208333E2;4.771235465E-8;4.152754148E-3;2.913016833E-6;2.535410970E-1;NaN;2.979297701E-1;NaN;2.688615424E-2;1.552271469E-6;1.351055052E-1;1.211568439E-7;1.054516361E-2
